"timestamp","surface","path","check_type","evidence_opened","manual_observation","decision","gap","destructive_action_this_session"
"2026-06-05Tcurrent","local-root","G:\GitHub\Latent_Style","opened_directory","top-level Get-ChildItem output","Root is not a clean single-project tree; it contains SchrodingerBridge, Cycle-NCE, Related_Works, Dataset, eval_cache, latent/features, root exp, archive/tmp, and an existing EXPERIMENT_ARCHAEOLOGY output area.","keep as multi-surface archaeology root","Nested generated-image owner review and some archive policy blocks remain.","none"
"2026-06-05Tcurrent","local-schrodingerbridge-root","G:\GitHub\Latent_Style\SchrodingerBridge","opened_directory","SchrodingerBridge top-level Get-ChildItem output","Contains aaai_submission dirty paper area, docs, exp, eval_cache, configs, datasets, src, tools, historical S-add run, and tmp. Paper/source dirty files must not be touched by archaeology cleanup.","read-only except EXPERIMENT_ARCHAEOLOGY outputs","Timing docs still need reconciliation with timing_quality_master.","none"
"2026-06-05Tcurrent","local-formal-anchor","G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8","opened_directory_and_logs","config.json; epoch_0001.pt..epoch_0008.pt; logs/training_20260601_203435.csv; train_stdout.log","This is a real 8-epoch WikiArt512/Distinct5 training payload. train_stdout.log reports Model params 3,914,997 and TRAIN_WALL_SECONDS=53.19, with epoch_0008.pt saved.","retain formal timing/training anchor","Training wall time is present; infer/full-eval timing is in the child full_eval summary.","none"
"2026-06-05Tcurrent","local-formal-anchor-full-eval","G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8\full_eval_epoch_0008_b2_opt_nocls","opened_summary","summary.json; metrics.csv; aggregate_targetwise_artfid.csv/json","summary.json has count=750, clip_style=0.7922978092034658, content_lpips=0.3550378331343333, timings_sec.wall_total=206.792325715, vae_decode=120.35814758199997, lpips_generated=37.75680836999979.","retain claim-support full-eval/timing anchor","External wall clock is known from prior timing overlay but docs timing master still needs reconciliation.","none"
"2026-06-05Tcurrent","local-historical-anchor","G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0008","opened_summary","summary.json; metrics.csv","Historical S-add epoch_0008 evaluation has summary/metrics and points back to remote grid_search_3epoch checkpoint path. This is historical baseline evidence, not removable cache.","retain historical baseline anchor","Need keep separate from current formal claim rows.","none"
"2026-06-05Tcurrent","local-cycle-nce","G:\GitHub\Latent_Style\Cycle-NCE","opened_directory","top-level Get-ChildItem output","Cycle-NCE contains many named experiment families, archaeology reports, aggregate CSVs, docs, eval_cache, exp, source, summaries, and media. It is a historical evidence surface, not a pure checkpoint/cache folder.","retain historical evidence surface","Nested archive/media owner-level review remains; do not delete by extension or directory size.","none"
"2026-06-05Tcurrent","local-related-works","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results","opened_directory","results top-level Get-ChildItem output","Results contain many baseline and generated-output families: agnes, seedream, cut, s2wat, samam, samst, sdedit, and Distinct5 step-calibration runs. Several current user-dirty scripts exist elsewhere under Related_Works and must not be changed.","retain baseline/result evidence surface","Generated media owner review remains; some runs may be audit-only, but deletion requires per-family policy.","none"
"2026-06-05Tcurrent","local-remaining-surface","G:\GitHub\Latent_Style","opened_policy_and_post_delete_verification","manual_local_remaining_surface_policy_20260605.csv; manual_local_remaining_surface_post_delete_verify_20260605.csv","Prior local cleanup was exact-whitelist only: empty TensorRT cache, empty probe, duplicate horse2zebra zip, duplicate cut.zip, and duplicate samst_outputs_epoch50.tar are absent; retained surfaces include datasets, WDS shards, dependency gz/locks, checkpoint tar, and eval dependencies.","retain non-whitelisted surfaces","No more local deletion without a new explicit policy CSV plus post-delete verify.","none"
"2026-06-05Tcurrent","remote-i-root","I:\","opened_remote_directory","PowerShell EncodedCommand Get-ChildItem I:\ JSON","Remote I drive is not empty. It contains Github, datasets, latent/cache roots, curated archaeology dirs, wikiart latent/image roots, and many helper/temp files.","continue remote archaeology under exact project roots","Need ignore unrelated installers/system/pagefile and avoid broad root cleanup.","none"
"2026-06-05Tcurrent","remote-i-github","I:\Github","opened_remote_directory","PowerShell EncodedCommand Get-ChildItem I:\Github JSON","Remote Github contains Latent_Style and Latent_Style_TokenizerClean, plus 26AI-H. This confirms the relevant remote experiment roots are present.","continue project-specific remote checks","Do not treat I: root as empty or complete from a shallow listing.","none"
