"scope","path","surface_type","manual_check","evidence","decision","delete_whitelist","next_action","note"
"local_remaining_surface","Dataset","dataset root","opened top-level surface from remaining probe; counted files and immediate dirs","52738 files; 12605.345 MB; immediate dirs distinct5_512/eval/legacy256_overfit50/wikiart_stress_splits_512/wikiart512_5style; no bad/archive/empty marker in this pass","keep","no","retain as dataset source/eval split root","not checkpoint cleanup target"
"local_remaining_surface","style_data","dataset root","opened top-level surface from remaining probe; counted files and immediate dirs","12018 files; 385.598 MB; immediate dirs grid5/overfit_eval/overfit50/overfit50_evalmatch/test/train/val_clean50","keep","no","retain as style data root","not checkpoint cleanup target"
"local_remaining_surface","latent-256","latent cache root","opened top-level surface from remaining probe","10361 files; 177.702 MB; immediate dirs cezanne/Hayao/monet/photo/vangogh","keep","no","retain as latent backend cache","only delete under an explicit backend-obsolescence policy"
"local_remaining_surface","clip-feats-vitb32","feature cache root","opened top-level surface from remaining probe","10361 files; 1303.526 MB; immediate dirs cezanne/Hayao/monet/photo/vangogh","keep","no","retain as CLIP feature cache","only delete under explicit cache-retention policy"
"local_remaining_surface","eval_cache","metric/model cache root","opened top-level surface and immediate files; separated one empty subdir below","3077 files; 5747.939 MB; ArtFID/HF/manual_clip/offline_pairing/VAE caches and ref_feats present","keep","no","retain complete metric/model/eval caches","empty TensorRT cache subdir is handled as a separate whitelist row"
"local_remaining_surface","eval_cache\vae_onnx\ema_b2_64\trt_cache","empty cache directory","resolved exact path and counted recursively","exists=True; recursive child count=0","delete","yes","delete empty directory and log ledger","safe because no files or child dirs exist"
"local_remaining_surface","SchrodingerBridge\scale","dataset/VAE scale root","opened top-level surface from remaining probe","99012 files; 18894.017 MB; immediate dirs datasets/vae_sdxl","keep","no","retain source data and VAE scale artifacts","not a non-mainline ckpt target"
"local_remaining_surface","SchrodingerBridge\datasets\horse2zebra","dataset root","opened top-level surface; checked nested raw archive separately","7984 files; 672.418 MB; latents/test/train/raw roots present","keep","no","retain extracted dataset and latent splits","archive zip row below is the only cleanup target"
"local_remaining_surface","SchrodingerBridge\datasets\horse2zebra\raw\horse2zebra.zip","fully duplicated dataset archive","opened zip with System.IO.Compression and compared every file entry to extracted same-size candidates","2661 file entries; missing same-size extracted entries=0; archive size=111.454 MB","delete","yes","delete redundant zip and keep extracted dataset tree","not deleting dataset body"
"local_remaining_surface","SchrodingerBridge\exp","experiment root","opened top-level surface from remaining probe; separated one empty probe dir below","39040 files; 3480.419 MB; configs/logs/full_eval/probe families present","keep","no","retain experiment evidence root","only empty leaf dir below is whitelisted"
"local_remaining_surface","SchrodingerBridge\exp\frontier\decision_tree_clip_style\s21_temp_var0p0_temp0p03","empty probe directory","resolved exact path and counted recursively","exists=True; recursive child count=0","delete","yes","delete empty directory and log ledger","safe because no files or child dirs exist"
"local_remaining_surface","Related_Works","baseline and external repo root","opened top-level surface from remaining probe; nested archives/dependencies handled separately","223180 files; 28487.511 MB; baseline_pipeline/docs/final_works/repos/results/run_511/runs/scripts/summary present","keep","no","retain as baseline/repro/evidence root","do not broad-delete external repos"
"local_remaining_surface","Related_Works\runs\cut_5x5\cut.zip","fully duplicated generated-output archive","opened zip with System.IO.Compression and compared every file entry to extracted same-size candidates","2520 file entries; missing same-size extracted entries=0; archive size=94.220 MB","delete","yes","delete redundant zip and keep extracted infer_5x5 tree","not deleting expanded result evidence"
"local_remaining_surface","Related_Works\runs\lbm_train_wds_smoke_photo_to_monet\train-000000.tar","WebDataset shard","listed tar entries and checked same-path extracted files","80 file entries; extracted same-path present=0; archive size=2.812 MB","keep","no","retain WDS shard","no unpacked equivalent proven"
"local_remaining_surface","Related_Works\runs\lbm_train_wds_smoke_photo_to_monet\val-000000.tar","WebDataset shard","listed tar entries and checked same-path extracted files","20 file entries; extracted same-path present=0; archive size=0.596 MB","keep","no","retain WDS shard","no unpacked equivalent proven"
"local_remaining_surface","Related_Works\repos\ArtBank\clip\bpe_simple_vocab_16e6.txt.gz","dependency gzip","resolved exact path and checked size/time","exists=True; size=1.294057 MB","keep","no","retain CLIP vocabulary dependency","archive-like extension but not experiment output archive"
