"location","path","weight_file_count","size_mb","current_class","cleanup_decision","why_not_deleted_now","next_action","source_evidence"
"local","SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_vramprobe","0","0","stale local probe checkpoint candidate","resolved in current scan","Current local rescan finds no directory/weights for this candidate. No delete was performed in this continuation because there is no remaining file at the previously recorded path.","No action needed unless the directory reappears; keep this row as stale-candidate audit history.","manual_top_level_directory_index_20260605.csv; exact extension grouping refreshed after rescan"
"local","SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8","8","260.552","formal timing anchor","keep","Current WikiArt512 formal full-eval timing anchor; deleting would break reproducibility of the strongest local timing evidence.","Keep until a dedicated archive package is made with checksum and checkpoint retention policy.","manual_directory_classification_20260605.csv; manual_top_level_directory_index_20260605.csv"
"local","SchrodingerBridge/exp/video/video_compare/vtest_240f_art_styles/_metric_cache/artfid/art_inception.pth","1","102.936","metric dependency","keep","ArtFID/Inception metric dependency, not a training checkpoint.","Do not delete as checkpoint cleanup.","exact local weight detail"
"local","Related_Works fake_eval_checkpoint.pt placeholders","22 approx","0.032 approx","tiny eval placeholders","keep or delete only with placeholder policy","They are tiny placeholders inside full_eval/infer result directories; deleting saves no meaningful disk and may break scripts that expect a checkpoint path field.","If cleanup policy says placeholders are disposable, remove them in a separate placeholder-only pass and log every path.","Related_Works exact local weight detail"
"local","Related_Works VGG/Inception/LPIPS dependency weights","9 approx","814.881 approx","pretrained dependencies","keep","These support baseline/eval repos; not non-mainline training checkpoints.","Do not delete unless the corresponding external baseline repo is archived or removed wholesale.","Related_Works exact local weight detail"
"local","Cycle-NCE/eval_cache/ref_feats_*.pt","3","1.054","eval feature cache","keep","Reference feature cache, not training checkpoint.","Leave in place unless eval cache purge is explicitly requested.","Cycle-NCE exact local weight detail"
"local","eval_cache","30","4383.348","metric/model cache","keep","Shared CLIP/VAE/Inception/ArtFID dependencies and feature refs; deleting would break eval reproducibility.","Do not include in checkpoint cleanup.","manual_top_level_directory_index_20260605.csv"
"local","clip-feats-vitb32 and latent-256","20722","1481.228","feature/latent data","keep","Per-image feature and latent tensors; not model checkpoints.","Only prune with a separate data-cache retention policy.","manual_top_level_directory_index_20260605.csv"
"local","lambda_grid and step_count_sweep","0","0","dry-run placeholder surfaces","keep as negative evidence","No checkpoint files remain; root manifest says dry_run=true, so timing placeholders are useful as warnings.","Retain notes; do not promote timing rows.","manifest.json; run_summary.json; manual_top_level_directory_index_20260605.csv"
"remote","I:/Github/Latent_Style/SchrodingerBridge/exp","101","5945.063","current Distinct5/SADD lineage evidence","keep pending retention policy","Per-run manual split shows these are current/lineage evidence: B44 variants, longer F/K, path kinetic H, SADD repro. A broad delete would destroy current paper and reproduction evidence.","Future policy can thin to best epoch plus config/log/full_eval per family after explicit approval.","remote SchrodingerBridge exp per-run grouping"
"remote","I:/Github/Latent_Style/SchrodingerBridge/exp checkpoint epochs post-thinning","17","983.457","retained cited/probe/anchor checkpoints after manual epoch thinning","completed thinning; keep retained anchors","Post-thinning row supersedes the earlier 101-checkpoint pending row for current state. Deleted 84 .pt files totaling 4961.604 MB after policy validation; config/log/summary/grid/metrics evidence remains.","Next destructive candidates are separate: SaMAM central curve only after curve-retention decision; TokenizerClean only after citation graph.","MANUAL_REMOTE_SCHRODINGERBRIDGE_EPOCH_THINNING_20260605.md; cleanup/manual_remote_schrodingerbridge_epoch_cleanup_20260605.csv"
"remote","I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","19","5242.0","current SaMAM baseline curve","keep","This is the central remaining SaMAM Distinct5 checkpoint series after cleanup. It anchors baseline timing/quality trajectory and should not be deleted without replacing the evidence package.","If space pressure is high, thin to last plus cited steps only after confirming comparison docs no longer need the full trajectory.","remote Related_Works weight detail"
"remote","I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints post-alias-cleanup","12","3310.776","SaMAM baseline curve step checkpoints after alias cleanup","completed alias cleanup; keep curve step checkpoints","Deleted 7 last* aliases after PyTorch metadata/state_dict hash check proved they are model-duplicates of paired step checkpoints; all 12 step checkpoints remain for curve/cited/repair/last evidence.","Only thin step checkpoints after explicit decision to sacrifice complete curve checkpoint rerun capability.","MANUAL_REMOTE_SAMAM_CHECKPOINT_THINNING_20260605.md; cleanup/manual_remote_samam_alias_cleanup_20260605.csv"
"remote","I:/Github/Latent_Style/Related_Works VGG/LPIPS dependencies","3","152.803","baseline dependencies","keep","VGG and LPIPS dependencies used by external baselines; not experiment ckpt clutter.","Do not delete during checkpoint cleanup.","remote Related_Works weight detail"
"remote","I:/Github/Latent_Style/Related_Works and StarGAN fake_eval_checkpoint.pt","9","0.013 approx","tiny eval placeholders","keep or delete only with placeholder policy","Tiny placeholders save no meaningful disk and may be referenced by eval records.","Optional placeholder-only deletion pass if user wants semantic cleanliness, not disk recovery.","remote Related_Works and StarGAN weight details"
"remote","I:/Github/Latent_Style/Cycle-NCE","37","937.553","historical archive/caches/deps","keep pending archive policy","Opened detail shows CLIP/VAE/cache/classifier/venv dependencies, not current run checkpoints; directory also contains large old rar/zip archives requiring a separate archive decision.","Create an archive-vs-delete plan for old Cycle-NCE bundles rather than deleting by extension now.","remote Cycle-NCE weight detail"
"remote","I:/Github/Latent_Style/experiments","3","319.141","legacy archive/cache","keep pending archive policy","Only counted weights are VAE/cache files in a huge legacy experiment tree; the tree needs historical archive handling, not checkpoint-only deletion.","Separate pass: index legacy experiments by family and decide whether rar/directory duplicates can be removed.","remote experiments listing and weight detail"
"remote","I:/Github/Latent_Style/eval_cache","29","6077.946","remote eval cache","keep","Shared remote eval/model cache; deleting would make current remote eval jobs fail or re-download.","Do not delete as checkpoint cleanup.","remote eval_cache listing and count"
"remote","I:/Github/Latent_Style/latent-* and latents*","82888","21658.158","remote latent backend caches","keep","These are data/latent tensors across Flux/KL/SDXL/SD15 backends, not training ckpts; they are large but experiment inputs.","Only remove after selecting which latent backends are obsolete and recording dataset impact.","remote latent root counts"
"remote","I:/Github/Latent_Style/SchrodingerBridge/scale/datasets","11349","2859.902","scale dataset tensors","keep","Data carrier under scale/datasets, not model checkpoint residue.","Do not delete in ckpt cleanup.","remote SchrodingerBridge first-level split"
"remote","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp","185 post-cleanup (326 before)","6176.361 post-cleanup (11375.355 before)","mixed: cited/current aaai2027/review no-summary after TokenizerClean checkpoint cleanup","partially cleaned; 141 uncited summary-backed exploratory checkpoints deleted","Remaining weights are either cited by docs/reviews/master/paper, current aaai2027 packets, or uncited no-summary dirs where the checkpoint may be the only model artifact.","Review 28 no-summary checkpoint dirs; create separate generated-image archive policy for diagnostics/tokenizer_control_probes/config-derived eval image surfaces.","MANUAL_REMOTE_TOKENIZERCLEAN_CITATION_GRAPH_20260605.md; manual_remote_tokenizerclean_cleanup_policy_20260605.csv; manual_remote_tokenizerclean_remaining_weight_classes_after_cleanup_20260605.csv"
"remote","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp displayed as exp?saswd*","6","403.558","SA-SWD current evidence with path display anomaly","keep","Special path display/Unicode separator contains actual semantic/random SA-SWD evidence; normal exp/saswd dirs may only be launch/log surfaces.","Do not delete; record exact path carefully before any future move.","TokenizerClean first-level grouping; SA-SWD README"
"remote","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/artifacts/tokenizer_directional_from_spectral_e120_b16","1","43.635","artifact checkpoint","keep","Artifact is part of tokenizer evidence inventory, not classified as disposable.","Review with TokenizerClean docs before pruning.","TokenizerClean first-level grouping"
"remote","I:/Github/Latent_Style_TokenizerClean other top-level roots","0","0","mirror roots without weight files","clean","Top-level count found no .pt/.pth/.ckpt/.safetensors outside SchrodingerBridge in this checkout.","No action needed.","TokenizerClean top-level weight count"
