case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e20_style_specificity,Hold4TwoStage_e20_structure_preservation,Hold4TwoStage_e20_artifact_control,Hold4TwoStage_e20_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly textured and aged appearance; lacks coherent Renaissance style, introduces heavy noise and distortion.",5,5,5,"Excellent match to Early Renaissance style with clear composition, natural lighting, and minimal artifacts.",3,4,3,Moderate style transfer with some blurring and loss of detail; structure mostly preserved but lacks stylistic fidelity.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style with poor color fidelity to Early Renaissance; structure is somewhat preserved but lacks definition; noticeable artifacts and low contrast.",5,5,5,"Excellent match to Early Renaissance style with warm tones, architectural clarity, and refined brushwork; structure fully preserved; no visible artifacts.",2,3,2,Overly desaturated and blurry; style is indistinct and lacks Renaissance characteristics; structure is faintly visible but degraded; significant blurring and loss of detail.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly textured and noisy; style is abstracted rather than Renaissance-specific; structure partially preserved but obscured by artifacts.,5,5,5,Excellent match to Early Renaissance palette and brushwork; landscape structure cleanly preserved; minimal artifacts.,3,3,3,Moderate style transfer with some haze and smudging; structure visible but softened; artifacts present in sky and foreground.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Structure is well preserved but style is very faint and washed out, lacking the bold lines and color blocking of Ukiyo-e.",5,5,5,"Excellent transfer of the Ukiyo-e aesthetic, including line work and color palette, while perfectly maintaining the source composition.",2,2,1,The output is extremely blurry and lacks definition. It fails to capture the style and significantly degrades the source structure.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,4,"Minimal style transfer; nearly identical to source. Structure well preserved, but no Renaissance aesthetic applied.",5,5,5,"Excellent style transfer with warm tones and aged texture matching Early Renaissance. Structure fully preserved, no artifacts.",3,2,2,"Some stylistic warmth applied, but heavy blurring and smearing distort structure and introduce significant artifacts."
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,"Severe over-blurring and loss of detail; style is vague and washed out, not clearly Renaissance.",5,5,5,Excellent preservation of structure and facial features; strong Early Renaissance painterly texture and lighting without artifacts.,2,2,1,Heavy smudging and ghosting artifacts; structure is distorted and style is indistinct.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic signal; structure is barely preserved and artifacts dominate.",5,5,5,Strong minimalism via bold flat colors and simplified geometry; source architecture clearly preserved with clean edges and no visible artifacts.,2,3,2,Similar to LBM: overly diffuse and low-contrast; structure is partially retained but style is weak and noisy.
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Ukiyo-e style transfer; figure is distorted and lacks traditional aesthetic. Structure is partially preserved but heavily degraded. Significant artifacts and loss of detail.,5,5,5,"Excellent Ukiyo-e style transfer with authentic brushwork, color palette, and composition. Structure is perfectly preserved. No visible artifacts.",1,2,1,"Fails to apply Ukiyo-e style; appears as a faded, blurry version of the source. Structure is barely recognizable. Heavy artifacts and noise throughout."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very faint Rococo influence; heavy vignetting and blur obscure content and style. Structure partially preserved but degraded by artifacts.,5,5,5,"Excellent Rococo styling with ornate borders, soft pastels, and decorative motifs. Source structure (figure + mirror) well preserved. Minimal artifacts.",3,2,2,"Some Rococo color palette and framing hints, but structure is heavily blurred and distorted. Significant smudging and loss of detail reduce fidelity."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast, and lacks Renaissance texture or color depth. Structure is preserved but style is nearly absent.",5,5,5,"Excellent preservation of source structure with strong Early Renaissance styling: rich colors, realistic skin tones, period-appropriate clothing texture, and proper lighting. No visible artifacts.",3,4,2,"Structure is well preserved, but style application is inconsistent — face is over-smoothed and glowing, lacking Renaissance detail. Some color bleeding and haloing around edges."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,"Very clean output with minimal artifacts, but fails to capture any meaningful style from the target reference. Structure is preserved but overly blurred and lacks stylistic intent.",5,4,3,Strongest style transfer — clearly interprets minimalism through geometric abstraction and flat color blocks. Structure is well-preserved with recognizable forms. Minor artifacts in texture blending but overall high fidelity.,2,2,4,"Overly smoothed and washed-out; loses both stylistic character and structural detail. Artifacts are low due to blurring, but at the cost of meaningful content and style."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,3,5,5,"Excellent structure and artifact control, but style transfer is weak and lacks Early Renaissance characteristics.",5,4,4,Strongest style match with Early Renaissance aesthetics; minor structural softening and slight over-smoothing.,2,3,2,"Poor style transfer, significant blurring and loss of detail, heavy artifacts, and degraded structure."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e20,4,2,3,2,"Fails to capture minimalism; introduces heavy blur and noise, distorting structure and adding artifacts.",5,5,4,"Excellent minimalism: clean lines, solid colors, no clutter. Structure preserved well; minor text artifact on base but acceptable.",3,4,5,Clean output with no visible artifacts. Structure mostly preserved but style is muted/grayed — lacks bold minimalism contrast seen in reference.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean lines and bold color blocks; source structure fully preserved; no visible artifacts.,3,3,3,Moderate minimalism attempt; structure somewhat retained but overly faded; mild artifacts from over-smoothing.
