case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,"Completely fails to preserve structure or apply style; appears as a blurred, abstract texture with no discernible content.",5,5,5,Excellent preservation of source structure and successful application of Impressionist brushwork and color palette. Clean output with minimal artifacts.,3,4,4,"Good structure preservation but style application is weak and inconsistent; lacks the vibrant, textured Impressionist feel seen in the target. Some minor smudging artifacts."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,3,2,Overly blurred and abstract; loses all structural detail and fails to convey minimalism meaningfully.,5,4,4,Strong minimalist aesthetic with clean geometry and simplified forms; preserves key scene elements while stylizing effectively.,3,5,5,Preserves original structure faithfully but applies minimal stylistic change; artifacts are well-controlled but style transfer is weak.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,1,"Severely degraded; style is vague and muddy, structure is nearly lost, heavy smearing and artifacts dominate.",5,4,4,Strong Rococo aesthetic with ornate frame and soft palette; minor structural softening but excellent style transfer and clean output.,3,5,5,"Excellent structure and artifact control, but style transfer is weak — retains original painting’s style rather than adopting Rococo."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,1,1,1,"Completely failed to transfer style or preserve structure; output is a blurred, indistinct gray mass with no discernible content or Ukiyo-e characteristics.",4,4,4,"Successfully applies a stylized, illustrative aesthetic reminiscent of Ukiyo-e with strong color and line work. Structure is well-preserved, though some minor smoothing artifacts are present in the sky and background textures.",5,5,5,"Excellent transfer of Ukiyo-e style with bold outlines, flat color planes, and decorative patterns. Structure is perfectly preserved, and the output is clean with no visible artifacts, closely matching the target reference's aesthetic."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,"Overly blurred and painterly; loses fine facial structure and Early Renaissance detail. Style is diffuse, not period-specific.",4,4,4,Good fidelity to source structure and moderate Early Renaissance styling. Slight softness in drapery and background lacks architectural context.,5,5,5,"Excellent preservation of source composition with strong Early Renaissance stylistic cues: chiaroscuro, soft modeling, muted palette, and subtle texture. No visible artifacts."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; loses facial detail and texture. Style is vague, not clearly impressionistic. Structure is preserved but degraded by excessive smoothing.",5,5,5,Excellent impressionistic brushwork with visible strokes and soft edges while preserving original composition and facial features. No artifacts or distortions. Best balance of style and fidelity.,3,4,4,"Moderate impressionistic effect — some softening and color shift, but less pronounced than Seedream. Structure well preserved. Minor artifacts in background texture. Good but not as refined as D."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Extremely washed out, almost monochrome; fails to convey minimalism or preserve structure.",5,5,5,Perfectly captures minimalism with bold flat colors and clean lines while preserving source composition.,2,4,3,Retains structure well but applies a painterly style rather than true minimalism; slight color bleeding.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blur and smearing obscure structure; style is vague and lacks Rococo ornamentation or color palette.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate rendering; structure perfectly preserved with no artifacts.",3,4,4,Structure well preserved but style is muted and lacks distinct Rococo elements; slight darkening and loss of vibrancy reduce stylistic fidelity.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,1,Extremely blurry and washed-out; fails to convey Ukiyo-e style or preserve source structure. Heavy artifacts and loss of detail.,4,4,4,Good Ukiyo-e stylization with clean lines and color blocking. Structure preserved well. Minor softness in texture but overall strong.,5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color areas, and stylized shading. Source structure perfectly preserved. No visible artifacts."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Overly blurred and painterly; loses Renaissance clarity and detail.,4,4,4,Good stylistic match with soft lighting and muted tones; minor loss in edge sharpness.,5,5,5,"Excellent preservation of composition, color palette, and brushwork; faithful to Early Renaissance aesthetic."
